Date,Open,High,Low,Close,Adj Close,Volume
26/04/2021,232,238.5,231.75,238.029999,238.029999,167900
27/04/2021,238.589996,240.940002,236.539993,239.539993,239.539993,144100
28/04/2021,239.789993,240.115005,233.850006,234,234,126400
29/04/2021,235.470001,236.378006,229.229996,233.800003,233.800003,147800
30/04/2021,231.050003,236.889999,229,229.179993,229.179993,139100
03/05/2021,231.869995,232.039993,221.880005,223.240005,223.240005,190100
04/05/2021,220.630005,220.630005,214.089996,216.630005,216.630005,117900
05/05/2021,219.490005,222.399994,215.240005,216.009995,216.009995,107400
06/05/2021,215.169998,215.416,208.710007,212.639999,212.639999,163400
07/05/2021,215.199997,221.330002,215.199997,217.880005,217.880005,135200
10/05/2021,216.949997,216.949997,211.300003,213.5,213.5,239900
11/05/2021,207.009995,213.919998,205.080002,213.070007,213.070007,195300
12/05/2021,209.229996,210.130005,203.660004,205.320007,205.320007,169000
13/05/2021,208.320007,210,202.580002,204.529999,204.529999,272100
14/05/2021,220,224.690002,214.289993,214.960007,214.960007,648900
17/05/2021,213.419998,214.009995,206.744995,212.580002,212.580002,227200
18/05/2021,213.729996,219.307999,213.039993,216.520004,216.520004,211400
19/05/2021,210.229996,217.539993,209.009995,217.389999,217.389999,158700
20/05/2021,218.5,221.949997,217.380005,218.490005,218.490005,206400
21/05/2021,219.660004,220.089996,212.100006,213.839996,213.839996,252500
24/05/2021,214.940002,218.529999,214.130005,217.309998,217.309998,128900
25/05/2021,212.009995,216.475006,209.809998,215.960007,215.960007,443000
26/05/2021,223.990005,229.889999,217.419998,218.380005,218.380005,774700
27/05/2021,216.940002,219.740005,210.960007,217.220001,217.220001,359300
28/05/2021,217.580002,220.399994,215.070007,217.869995,217.869995,196700
01/06/2021,218.470001,219.770004,212.570007,213.570007,213.570007,220100
02/06/2021,213.330002,215.065002,211.119995,212.440002,212.440002,377100
03/06/2021,211,211.699997,207.220001,208.279999,208.279999,273800
04/06/2021,209.639999,213.679993,209,213.339996,213.339996,228300
07/06/2021,213.600006,214.164993,211.009995,213.699997,213.699997,140900
08/06/2021,215,217.449997,211.029999,211.360001,211.360001,137100
09/06/2021,212.110001,213.544998,208.759995,208.869995,208.869995,121700
10/06/2021,207.649994,214.009995,207.5,213.710007,213.710007,156800
11/06/2021,213.259995,218.089996,213.259995,218.080002,218.080002,139000
14/06/2021,218.639999,220.809998,217.389999,218.259995,218.259995,179100
15/06/2021,218.25,220.929993,215.330002,216.889999,216.889999,300900
16/06/2021,217.339996,219.509995,214.190002,215.619995,215.619995,174800
17/06/2021,215.070007,223.949997,215.070007,223.259995,223.259995,136900
18/06/2021,223.339996,225.080002,219.164993,219.919998,219.919998,177600
21/06/2021,219.910004,223.770004,216.660004,222.419998,222.419998,95100
22/06/2021,221.199997,225.835007,220.391006,225.440002,225.440002,129400
23/06/2021,225.800003,227.440002,223.669998,226.210007,226.210007,275300
24/06/2021,229.100006,229.220001,226.25,227.570007,227.570007,168400
25/06/2021,220.539993,227.130005,218.041,226.75,226.75,692100
28/06/2021,228.770004,229.490005,226.539993,228.979996,228.979996,199900
29/06/2021,229.25,229.559998,226.479996,226.889999,226.889999,240300
30/06/2021,225.350006,225.350006,219.134995,219.179993,219.179993,220600
01/07/2021,218.479996,220.110001,215.089996,216.300003,216.300003,184700
02/07/2021,218,220.300003,215.240005,216.110001,216.110001,138900
06/07/2021,215.970001,219.119995,215.649994,218.580002,218.580002,228600
07/07/2021,221.429993,223.309998,218.369995,222.990005,222.990005,169700
08/07/2021,217.869995,218.25,214.929993,216.110001,216.110001,101700
09/07/2021,215.789993,220.210007,214.009995,220.009995,220.009995,97800
12/07/2021,220.009995,224.429993,220.009995,222.5,222.5,256700
13/07/2021,221.830002,224.919998,221.830002,223.600006,223.600006,162000
14/07/2021,227.399994,227.75,220.520004,220.919998,220.919998,244300
15/07/2021,220.929993,221.949997,215.789993,218.369995,218.369995,156400
16/07/2021,220.809998,223.729996,218.089996,218.970001,218.970001,197300
19/07/2021,215.130005,219.869995,214.690002,219.130005,219.130005,217200
20/07/2021,221.199997,231.880005,220.220001,230.270004,230.270004,231800
21/07/2021,231,231.240005,226.679993,229.199997,229.199997,155000
22/07/2021,230.330002,232,228.470001,231.559998,231.559998,196300
23/07/2021,231.050003,238.520004,230.744995,237.660004,237.660004,163600
26/07/2021,237.919998,237.919998,233.889999,235.279999,235.279999,121100
27/07/2021,235.320007,235.524994,229.440002,233.389999,233.389999,167000
28/07/2021,239,243.880005,238.899994,241.279999,241.279999,312100
29/07/2021,241,243.190002,239.119995,240.970001,240.970001,200600
30/07/2021,238.570007,242.550003,237,239.160004,239.160004,165800
02/08/2021,241.990005,241.990005,234.335007,235.399994,235.399994,248500
03/08/2021,241.059998,242.669998,233.875,238.429993,238.429993,258400
04/08/2021,237.009995,243.220001,236.229996,242.929993,242.929993,244500
05/08/2021,244,252.380005,242.389999,250.320007,250.320007,292700
06/08/2021,249.190002,259.48999,247.949997,258.309998,258.309998,356800
09/08/2021,258.309998,259.799988,251.029999,251.25,251.25,271800
10/08/2021,253.445007,255.169998,250.740005,253.039993,253.039993,255700
11/08/2021,253.789993,261.109985,253.789993,256.670013,256.670013,346900
12/08/2021,256,264.959991,255.610001,260.809998,260.809998,417800
13/08/2021,270.25,277.98999,260.910004,271.420013,271.420013,467200
16/08/2021,270.820007,276.350006,268.709991,275.809998,275.809998,284600
17/08/2021,275.160004,287.295013,274.119995,285.179993,285.179993,586100
18/08/2021,282.549988,290.38501,282.34201,286.5,286.5,481600
19/08/2021,284.690002,289.059998,283.720001,288.670013,288.670013,394100
20/08/2021,290.01001,296.700012,287.420013,296.440002,296.440002,246700
23/08/2021,297,306.359985,297,303.790009,303.790009,442400
24/08/2021,305.660004,313.73999,305.660004,310.470001,310.470001,550200
25/08/2021,310.51001,313.768005,307.130005,309.679993,309.679993,314700
26/08/2021,313.76001,314.75,307.950012,314.25,314.25,281500
27/08/2021,315.390015,321.480011,315.001007,319.230011,319.230011,332000
30/08/2021,319.880005,324.380005,317.399994,322.600006,322.600006,352300
31/08/2021,323.420013,324.105011,315.527008,322.279999,322.279999,349300
01/09/2021,324.179993,326.709991,321.019989,324.029999,324.029999,327500
02/09/2021,326.079987,326.709991,318.910004,324.290009,324.290009,247300
03/09/2021,323.799988,332.600006,323.140015,331.109985,331.109985,225000
07/09/2021,331.459991,332.790009,327.619995,328.959991,328.959991,372700
08/09/2021,327.200012,327.779999,323.100006,326.950012,326.950012,292700
09/09/2021,327.290009,330.170013,324.23999,325.320007,325.320007,207100
10/09/2021,327.649994,330.100006,323.700012,324.190002,324.190002,333500
13/09/2021,325,325.160004,312.529999,316.859985,316.859985,528400
14/09/2021,319.51001,325.019989,316.869995,322.5,322.5,288800
15/09/2021,320.869995,325.890015,316.040009,324.950012,324.950012,187700
16/09/2021,322.450012,327.190002,321.51001,324.640015,324.640015,211600
17/09/2021,325.279999,326.649994,317.839996,319.869995,319.869995,455600
20/09/2021,312.320007,314.26001,308.300995,313.119995,313.119995,323000
21/09/2021,323.200012,328.98999,318.720001,323.170013,323.170013,431300
22/09/2021,323.600006,325.230011,320.540009,322.920013,322.920013,234400
23/09/2021,325.149994,330.244995,320.070007,329.720001,329.720001,181200
24/09/2021,326.01001,328.940002,322.019989,324.040009,324.040009,225800
27/09/2021,319.75,319.75,296.980011,298.470001,298.470001,748700
28/09/2021,292.420013,292.73999,282.320007,288.640015,288.640015,616600
29/09/2021,291.140015,292.209991,279.700012,281.859985,281.859985,453200
30/09/2021,283.170013,285.519989,278.25,281.01001,281.01001,389400
01/10/2021,282.940002,283.220001,274.591003,279.029999,279.029999,253800
04/10/2021,275.549988,278.029999,266.817993,271.869995,271.869995,272400
