DATE         BEHAVIOR      MODPOINT HIGHT-LOW
26/04/2021   GOES UP       3.375
27/04/2021   GOES UP       2.2000044999999915
28/04/2021   DROPS         3.1324994999999944
29/04/2021   DROPS         3.5740049999999997
30/04/2021   DROPS         3.9449994999999944
03/05/2021   DROPS         5.079993999999999
04/05/2021   DROPS         3.270004499999999
05/05/2021   DROPS         3.579994499999998
06/05/2021   DROPS         3.3529965000000033
07/05/2021   GOES UP       3.0650025000000056
10/05/2021   DROPS         2.824996999999996
11/05/2021   GOES UP       4.4199979999999925
12/05/2021   DROPS         3.2350005000000124
13/05/2021   DROPS         3.7099989999999963
14/05/2021   DROPS         5.2000044999999915
17/05/2021   DROPS         3.6325000000000074
18/05/2021   GOES UP       3.1340029999999928
19/05/2021   GOES UP       4.264999000000003
20/05/2021   DROPS         2.2849959999999925
21/05/2021   DROPS         3.994995000000003
24/05/2021   GOES UP       2.199996999999996
25/05/2021   GOES UP       3.332504
26/05/2021   DROPS         6.235000499999998
27/05/2021   GOES UP       4.389999000000003
28/05/2021   GOES UP       2.6649934999999942
01/06/2021   DROPS         3.599998499999998
02/06/2021   DROPS         1.972503500000002
03/06/2021   DROPS         2.239998
04/06/2021   GOES UP       2.339996499999998
07/06/2021   GOES UP       1.577499000000003
08/06/2021   DROPS         3.2099989999999963
09/06/2021   DROPS         2.3925014999999945
10/06/2021   GOES UP       3.2549975000000018
11/06/2021   GOES UP       2.415000500000005
14/06/2021   DROPS         1.7099995000000092
15/06/2021   DROPS         2.7999954999999943
16/06/2021   DROPS         2.6599965000000054
17/06/2021   GOES UP       4.439994999999996
18/06/2021   DROPS         2.957504499999999
21/06/2021   GOES UP       3.555000000000007
22/06/2021   GOES UP       2.722000499999993
23/06/2021   GOES UP       1.885002
24/06/2021   DROPS         1.4850004999999982
25/06/2021   GOES UP       4.544502500000007
28/06/2021   GOES UP       1.4750059999999934
29/06/2021   DROPS         1.5400010000000037
30/06/2021   DROPS         3.107505500000002
01/07/2021   DROPS         2.510002499999999
02/07/2021   DROPS         2.5299990000000037
06/07/2021   GOES UP       1.7350004999999982
07/07/2021   GOES UP       2.4700015000000093
08/07/2021   DROPS         1.660003500000002
09/07/2021   GOES UP       3.1000059999999934
12/07/2021   GOES UP       2.2099989999999963
13/07/2021   GOES UP       1.5449979999999925
14/07/2021   DROPS         3.614998
15/07/2021   DROPS         3.0800019999999932
16/07/2021   DROPS         2.819999999999993
19/07/2021   GOES UP       2.589996499999998
20/07/2021   GOES UP       5.8300020000000075
21/07/2021   DROPS         2.280006
22/07/2021   GOES UP       1.7649995000000018
23/07/2021   GOES UP       3.8875045000000057
26/07/2021   DROPS         2.014999500000002
27/07/2021   DROPS         3.042496
28/07/2021   GOES UP       2.4900055000000094
29/07/2021   DROPS         2.035003500000002
30/07/2021   GOES UP       2.775001500000002
02/08/2021   DROPS         3.827499000000003
03/08/2021   DROPS         4.397498999999996
04/08/2021   GOES UP       3.4950024999999982
05/08/2021   GOES UP       4.995003000000011
06/08/2021   GOES UP       5.769996499999991
09/08/2021   DROPS         4.384994499999991
10/08/2021   DROPS         2.214996499999998
11/08/2021   GOES UP       3.6599959999999925
12/08/2021   GOES UP       4.674994999999996
13/08/2021   GOES UP       8.539992999999981
16/08/2021   GOES UP       3.8200075000000027
17/08/2021   GOES UP       6.587508999999983
18/08/2021   GOES UP       4.021500000000003
19/08/2021   GOES UP       2.6699984999999913
20/08/2021   GOES UP       4.639999500000016
23/08/2021   GOES UP       4.679992499999997
24/08/2021   GOES UP       4.039992999999981
25/08/2021   DROPS         3.319000000000017
26/08/2021   GOES UP       3.3999939999999924
27/08/2021   GOES UP       3.2395019999999874
30/08/2021   GOES UP       3.490005499999995
31/08/2021   DROPS         4.2890014999999835
01/09/2021   DROPS         2.8450009999999963
02/09/2021   DROPS         3.8999934999999937
03/09/2021   GOES UP       4.729995500000001
07/09/2021   DROPS         2.5850069999999903
08/09/2021   DROPS         2.339996499999984
09/09/2021   DROPS         2.965011500000003
10/09/2021   DROPS         3.199996999999996
13/09/2021   DROPS         6.31500250000002
14/09/2021   GOES UP       4.074996999999996
15/09/2021   GOES UP       4.925003000000004
16/09/2021   GOES UP       2.839995999999985
17/09/2021   DROPS         4.404999000000004
20/09/2021   GOES UP       2.979507500000011
21/09/2021   DROPS         5.134994499999976
22/09/2021   DROPS         2.3450009999999963
23/09/2021   GOES UP       5.087494000000021
24/09/2021   DROPS         3.4600064999999915
27/09/2021   DROPS         11.384994500000005
28/09/2021   DROPS         5.209991500000001
29/09/2021   DROPS         6.2549894999999935
30/09/2021   DROPS         3.634994500000005
01/10/2021   DROPS         4.314499000000012
04/10/2021   DROPS         5.606002999999987
05/10/2021   GOES UP       2.9750060000000076
06/10/2021   GOES UP       3.304992999999996
07/10/2021   GOES UP       2.5500035000000025
08/10/2021   DROPS         6.485000500000012
11/10/2021   DROPS         3.3074949999999887
12/10/2021   GOES UP       5.505004999999983
13/10/2021   GOES UP       3.5149994999999876
14/10/2021   GOES UP       6.695007500000003
15/10/2021   GOES UP       3.894988999999981
18/10/2021   GOES UP       4.260009999999994
19/10/2021   GOES UP       2.530013999999994
20/10/2021   DROPS         3.824996999999996
21/10/2021   GOES UP       2.06500250000002
22/10/2021   DROPS         4.800003000000004
25/10/2021   GOES UP       5.212493999999992
26/10/2021   DROPS         2.90000950000001
27/10/2021   DROPS         3.4499970000000246
28/10/2021   GOES UP       4.41499349999998
29/10/2021   GOES UP       5.3300020000000075
01/11/2021   GOES UP       2.889999500000016
02/11/2021   GOES UP       4.029999000000004
03/11/2021   GOES UP       7.054992499999997
04/11/2021   GOES UP       8.035003499999988
05/11/2021   GOES UP       3.784988499999997
08/11/2021   GOES UP       4.44000250000002
09/11/2021   GOES UP       5.425003000000004
10/11/2021   DROPS         12.009994500000005
11/11/2021   DROPS         4.839995999999985
12/11/2021   DROPS         6.2949979999999925
15/11/2021   DROPS         8.027496500000012
16/11/2021   GOES UP       3.987503000000004
17/11/2021   GOES UP       4.660004000000015
18/11/2021   DROPS         6.81500250000002
19/11/2021   DROPS         9.850006000000008
22/11/2021   DROPS         17.175003000000004
23/11/2021   DROPS         9.296997000000005
24/11/2021   GOES UP       7.7274935000000085
26/11/2021   DROPS         9.284988499999997
29/11/2021   GOES UP       10.270004499999999
30/11/2021   DROPS         9.64999400000002
01/12/2021   DROPS         6.399993999999992
02/12/2021   GOES UP       6.9199979999999925
03/12/2021   DROPS         13.339996499999998
06/12/2021   GOES UP       7.339995999999999
07/12/2021   GOES UP       3.8574979999999925
08/12/2021   GOES UP       8.615005499999995
09/12/2021   DROPS         5.5449979999999925
10/12/2021   DROPS         5.339996500000012
13/12/2021   GOES UP       5.964996500000012
14/12/2021   DROPS         6.285004000000001
15/12/2021   GOES UP       6.514998999999989
16/12/2021   DROPS         7.665008499999999
17/12/2021   GOES UP       7.2450105000000065
20/12/2021   GOES UP       5.3400120000000015
21/12/2021   GOES UP       8.647491500000001
22/12/2021   GOES UP       5.877487500000001
23/12/2021   GOES UP       5.625
27/12/2021   GOES UP       9.005005000000011
28/12/2021   GOES UP       3.6849975000000086
29/12/2021   GOES UP       4.113495
30/12/2021   DROPS         4.5900120000000015
31/12/2021   GOES UP       4.004990000000021
03/01/2022   DROPS         11.200011999999987
04/01/2022   DROPS         14.020004499999999
05/01/2022   DROPS         9.135986500000001
06/01/2022   GOES UP       6.597504000000001
07/01/2022   DROPS         8.785003500000002
10/01/2022   GOES UP       7.230003500000009
11/01/2022   GOES UP       9.739997500000001
12/01/2022   GOES UP       5.279999000000004
13/01/2022   DROPS         11.99999249999999
14/01/2022   GOES UP       7.860000499999998
18/01/2022   DROPS         5.134994499999991
19/01/2022   DROPS         4.989998
20/01/2022   DROPS         4.7150040000000075
21/01/2022   DROPS         5.510002
24/01/2022   GOES UP       12.449996999999996
25/01/2022   DROPS         6.419998000000007
26/01/2022   DROPS         8.162498500000012
27/01/2022   DROPS         7.824996999999996
28/01/2022   GOES UP       6.804999999999993
31/01/2022   GOES UP       11.109001000000006
01/02/2022   GOES UP       3.8725049999999896
02/02/2022   DROPS         5.9550020000000075
03/02/2022   GOES UP       4.674995499999994
04/02/2022   GOES UP       7.269997000000004
07/02/2022   DROPS         5.599998500000012
08/02/2022   GOES UP       7.7099990000000105
09/02/2022   GOES UP       4.170012999999983
10/02/2022   GOES UP       6.6599879999999985
11/02/2022   DROPS         10.057495000000003
14/02/2022   GOES UP       7.274993499999994
15/02/2022   GOES UP       5.614990500000005
16/02/2022   GOES UP       7.255004499999998
17/02/2022   DROPS         8.24000550000001
18/02/2022   DROPS         7.919998000000007
22/02/2022   DROPS         6.845001500000009
23/02/2022   DROPS         6.599998499999998
24/02/2022   GOES UP       18.515006999999997
25/02/2022   GOES UP       5.4950105000000065
28/02/2022   GOES UP       4.760009999999994
01/03/2022   DROPS         12.0
02/03/2022   DROPS         4.279998500000005
03/03/2022   DROPS         13.485008500000006
04/03/2022   DROPS         9.449996999999996
07/03/2022   DROPS         7.7799989999999895
08/03/2022   GOES UP       7.550003000000004
09/03/2022   DROPS         3.0099944999999906
10/03/2022   DROPS         3.400001500000002
11/03/2022   DROPS         3.134994500000005
14/03/2022   DROPS         4.1650009999999895
15/03/2022   GOES UP       7.717499000000004
16/03/2022   GOES UP       11.48000350000001
17/03/2022   GOES UP       5.115005499999995
18/03/2022   GOES UP       7.5700069999999755
21/03/2022   DROPS         4.725006000000008
22/03/2022   GOES UP       6.697494500000005
23/03/2022   DROPS         7.844986000000006
24/03/2022   DROPS         4.595001499999995
25/03/2022   DROPS         6.215011500000003
28/03/2022   DROPS         6.6999964999999975
29/03/2022   GOES UP       4.210007000000019
30/03/2022   DROPS         18.7299955
31/03/2022   GOES UP       8.910004
01/04/2022   DROPS         6.264999500000002
04/04/2022   GOES UP       5.2549974999999876
05/04/2022   DROPS         3.531006000000005
06/04/2022   DROPS         5.885002
07/04/2022   DROPS         5.430000000000007
08/04/2022   DROPS         4.430000000000007
11/04/2022   GOES UP       3.7799990000000037
12/04/2022   DROPS         5.032500999999996
13/04/2022   GOES UP       3.125
14/04/2022   DROPS         6.310005000000004
18/04/2022   DROPS         4.209998999999996
19/04/2022   GOES UP       5.622497499999994
20/04/2022   DROPS         4.654999000000004
21/04/2022   DROPS         9.975006000000008
22/04/2022   DROPS         4.974998499999998
